#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Entrez le mot de passe correct ci-dessus, puis saisissez les caractères indiqués par l'image ci-dessous.
#From:regenerate,Regenerate
regenerate,Générer à nouveau
IPDHCPSERVER_LEASE_EXPIRED,Concession %v expirée.
#From: GW_LOGS_CLEARED,Log cleared by IP address %v
GW_LOGS_CLEARED,Journal effacé par l'adresse IP %v.
#From: GW_FW_NOTIFY_RESOLVED_DNS,Firmware upgrade server %s is at IP address %v
GW_FW_NOTIFY_RESOLVED_DNS,Le serveur de mise à niveau du microprogramme %s se trouve à l'adresse IP %v.
#From: EMAIL,Email
EMAIL,Courrier électronique
#From: GW_FW_NOTIFY_FAILED_DNS,Unable to find DNS record for firmware upgrade server %s
GW_FW_NOTIFY_FAILED_DNS,Impossible de détecter l'enregistrement DNS pour le serveur de mise à niveau du microprogramme %s.
#From: IPNAT_BLOCKED_INGRESS,Blocked incoming packet from %v to %v (IP protocol %u)
IPNAT_BLOCKED_INGRESS,Paquet entrant bloqué de %v à %v (protocole IP %u).
#From: GW_INET_ACCESS_POLICY_START_OTHERS,Policy %s started; Internet access for all non-specified systems changed to: %s
GW_INET_ACCESS_POLICY_START_OTHERS,La stratégie %s est démarrée ; l'accès à Internet pour tous les systèmes non spécifiés devient : %s
#From: GW_TIME_FAILED_DNS,Unable to find DNS record for time server %s
GW_TIME_FAILED_DNS,Impossible de détecter l'enregistrement DNS pour le serveur de synchronisation %s.
#From: BSECURE_LOG_AUTH_FAIL_INTNL,%S service authorization failed: internal error
BSECURE_LOG_AUTH_FAIL_INTNL,L'autorisation du service %S a échoué : erreur interne
#From: GW_BIGPOND_INIT,BigPond enabled
GW_BIGPOND_INIT,BigPond activé.
#From: BIGPOND_LOGGING_IN,BigPond logging in
BIGPOND_LOGGING_IN,Connexion BigPond
#From: GW_FW_NOTIFY_FIRMWARE_ERROR,Failed to check for new firmware
GW_FW_NOTIFY_FIRMWARE_ERROR,Impossible de détecter un microprogramme mis à niveau
#From: WCN_LOG_RESTORE,Restore wireless settings
WCN_LOG_RESTORE,Restaurer les paramètres sans fil
#From: IPL2TP_TUNNEL_DISCONNECTING,L2TP local tunnel 0x%04X is disconnecting
IPL2TP_TUNNEL_DISCONNECTING,Le tunnel local L2TP 0x%04X est en cours de déconnexion.
#From: IPL2TP_SESSION_CLEAR_DOWN_REQUEST,L2TP local session 0x%04X terminating
IPL2TP_SESSION_CLEAR_DOWN_REQUEST,La session locale L2TP 0x%04X est en cours de finalisation.
#From: GW_INET_ACCESS_RESTRICTED,One or more Internet access policies are in effect. Internet access will be restricted according to these policies
GW_INET_ACCESS_RESTRICTED,Une ou plusieurs stratégies d'accès à Internet sont en vigueur. L'accès à Internet sera restreint conformément à ces stratégies.
#From: FW_UPDATE_AVAILABLE,Firmware Update is Available
FW_UPDATE_AVAILABLE,Une mise à jour du microprogramme est disponible.
#From: GW_INET_ACCESS_INITIAL_MAC_FAIL,Internet access policy for MAC address %m cannot be set
GW_INET_ACCESS_INITIAL_MAC_FAIL, Politique d'accès à Internet pour l’adresse MAC %m ne peut pas être validée
#From: IPSMTPCLIENT_MSG_SENT,SMTP client succeeded sending email
IPSMTPCLIENT_MSG_SENT,Le client SMTP a réussi à envoyer un message électronique.
#From: GW_WAN_LAN_ADDRESS_CONFLICT_PPP,THE ADDRESSING OF THE INTERNET SIDE LEARNT THRU PPPoE CONFLICTS WITH THE ADDRESSING SELECTED FOR THE LAN SIDE. INTERNET COMMUNICATIONS WILL BE DISABLED UNTIL YOU HAVE CHANGED THE LAN SIDE ADDRESSING TO RESOLVE THE PROBLEM
GW_WAN_LAN_ADDRESS_CONFLICT_PPP,L'ADRESSAGE INTERNET APPRIS VIA PPPoE EST INCOMPATIBLE AVEC L'ADRESSAGE SÉLECTIONNÉ POUR LE RÉSEAU LOCAL. LES COMMUNICATIONS SUR INTERNET SERONT DÉSACTIVÉES JUSQU'À CE QUE VOUS MODIFIIEZ L'ADRESSAGE DE RÉSEAU LOCAL POUR RÉSOUDRE LE PROBLÈME.
#From: INBOUND_FILTER,Inbound Filter
INBOUND_FILTER,Filtre entrant
#From: IPNAT_UDP_BLOCKED_INGRESS_ICMP_ERROR_PACKET,Blocked incoming ICMP error message (ICMP type %u) from %v to %v as there is no UDP session active between %v:%u and %v:%u
IPNAT_UDP_BLOCKED_INGRESS_ICMP_ERROR_PACKET, Message d'erreur d’ICMP entrant bloqué (type d’ICMP %u) de %v à %v , il n’y a aucune session UDP active entre %v:%u et %v:%u
#From: GW_WAN_RECONNECT_ON_ACTIVE,Attempting to re-connect on-demand WAN connection
GW_WAN_RECONNECT_ON_ACTIVE,Tentative de reconnexion d'une connexion de réseau étendu sur demande.
#From: WEB_FILTER_LOG_URL_ACCESSED,Web site %S accessed from %v
WEB_FILTER_LOG_URL_ACCESSED,Accès au site Web %S depuis %v
#From: GW_WAN_CONNECT_ALWAYS_ON,Attempting to start always-on WAN connection
GW_WAN_CONNECT_ALWAYS_ON,Tentative de démarrage d'une connexion de réseau étendu permanente.
#From: GW_WAN_CARRIER_LOST,WAN interface cable has been disconnected
GW_WAN_CARRIER_LOST, Le câble wan a été débranché
#From: GW_BIGPOND_LOGOUT,BigPond logged out
GW_BIGPOND_LOGOUT,BigPond déconnecté.
#From: GW_WEB_FILTER_INITIAL_FAIL,Web filter initialization failed
GW_WEB_FILTER_INITIAL_FAIL, L’initialisation du filtre Web a échouée
#From: IPPPPLCP_SET_LOCAL_OPTIONS,LCP sets local options: ACCM: %lx, ACFC: %u, PFC: %u, MRU: %u
IPPPPLCP_SET_LOCAL_OPTIONS,Le protocole LCP définit les options locales : ACCM : %lx, ACFC : %u, PFC : %u, MRU : %u
#From: IPFAT_DISK_FULL,Disk is full
IPFAT_DISK_FULL,Le disque est plein.
#From: GW_LAN_CARRIER_LOST,LAN Ethernet Carrier Lost
GW_LAN_CARRIER_LOST,Courant porteur Ethernet de réseau local perdu.
#From: PPPOE_EVENT_DISCOVERY_REQUEST,PPPoE confirming session offer
PPPOE_EVENT_DISCOVERY_REQUEST,Confirmation d'offre de session par PPPoE.
#From: GW_UPNP_PORTMAP_DEL,UPnP deleted entry %v <-> %v:%d %S
GW_UPNP_PORTMAP_DEL, UPnP a supprimée l’entrée %v <-> %v:%d %S
#From: PPTP_EVENT_LOW_RESOURCES_TO_QUEUE,The PPTP subsystem is low on resources. Connectivity may be affected.
PPTP_EVENT_LOW_RESOURCES_TO_QUEUE,Le sous-système PPTP est faible en ressources. La connectivité peut être affectée.
#From: GW_INET_ACCESS_DROP_PORT_FILTER,Internet access port filter dropped packet from %v:%u to %v:%u (protocol %u)
GW_INET_ACCESS_DROP_PORT_FILTER,Le filtre du port d'accès à Internet a rejeté un paquet de %v:%u à %v:%u (protocole %u).
#From: GW_DYNDNS_SERROR,Error updating dynamic DNS entry: %s. Will retry later
GW_DYNDNS_SERROR, Erreur de mise à jour de l’entrée DNS: %s.  Réessayera plus tard
#From: DHCP_CLIENT_LOST_LEASE,Lost lease on IP Address
DHCP_CLIENT_LOST_LEASE,Concession de l'adresse IP perdue.
#From: IPNAT_BLOCKED_EGRESS,Blocked outgoing packet from %v to %v (IP protocol %u)
IPNAT_BLOCKED_EGRESS, Paquet sortant bloqué de %v à %v (protocole IP %u)
#From: GW_SMTP_EMAIL_INVALID_TO_ADDRESS,Unable to send email as \"%s\" is not a valid \"To:\" address
GW_SMTP_EMAIL_INVALID_TO_ADDRESS,Impossible d'envoyer un message électronique car \"%s\" n'est pas une adresse \"À:\" valide.
#From: BIGPOND_LOGGED_OUT,BigPond logged out
BIGPOND_LOGGED_OUT,BigPond déconnecté.
#From: IPSMTPCLIENT_DIALOG_FAILED,SMTP failed during sender/recipient dialog
IPSMTPCLIENT_DIALOG_FAILED,Échec SMTP pendant le dialogue expéditeur/destinataire
#From: IPL2TP_LOW_RESOURCES,L2TP local tunnel 0x%04X RTE module is low on resources.
IPL2TP_LOW_RESOURCES,Le module RTE 0x%04X du tunnel local L2TP est faible en ressources.
#From: GW_WAN_INTERFACE_DOWN,WAN interface is down
GW_WAN_INTERFACE_DOWN,L'interface de réseau étendu est hors service.
#From: IPH323ALG_REJECTED_PACKET,H.323 ALG rejected packet from %v:%u to %v:%u
IPH323ALG_REJECTED_PACKET, L’ALG H.323 a rejeté le paquet de %v:%u à %v:%u
#From: BSECURE_LOG_FLTR_DISCONNECTED_CLOSED,%S filter server disconnected: closed
BSECURE_LOG_FLTR_DISCONNECTED_CLOSED,Serveur de filtre %S déconnecté : fermé
#From: STATIC_IP_ADDRESS,Static IP Address
STATIC_IP_ADDRESS,Adresse IP statique
#From: IPDHCPSERVER_LEASE_EXPIRED_SPECIFIC,Lease expired %v - was reassigned because a client specifically requested this address
IPDHCPSERVER_LEASE_EXPIRED_SPECIFIC,Concession expirée ; %v a été réattribuée car un client a expressément demandé cette adresse.
#From: GW_INET_ACCESS_POLICY_END_MAC,Policy %s stopped; Internet access for MAC address %m changed to: %s
GW_INET_ACCESS_POLICY_END_MAC,La stratégie %s est arrêtée ; l'accès à Internet pour l'adresse MAC %m devient : %s
#From: GW_SMTP_EMAIL_RESOLVED_DNS,SMTP (Email) server %s is at IP address %v
GW_SMTP_EMAIL_RESOLVED_DNS,Le serveur SMTP (de messagerie) %s est à l'adresse IP %v.
#From: IPNAT_TCP_UNABLE_TO_HANDLE_HEADER,Dropped TCP packet from %v to %v as unable handle packet header
IPNAT_TCP_UNABLE_TO_HANDLE_HEADER,Paquet TCP rejeté de %v à %v car impossible de traiter l'en-tête de paquet.
#From: GW_ADMIN_LOGOUT,Administrator logout
GW_ADMIN_LOGOUT,Déconnexion de l'administrateur
#From: BSECURE_LOG_AUTH_CONNECTED,%S auth server connected
BSECURE_LOG_AUTH_CONNECTED,Serveur d'authentification %S connecté
#From: IPL2TP_TUNNEL_ABORTING,L2TP local tunnel 0x%04X aborted
IPL2TP_TUNNEL_ABORTING,Tunnel local L2TP 0x%04X  abandonné.
#From: IPL2TP_SESSION_DOWN,L2TP local session 0x%04X is down
IPL2TP_SESSION_DOWN,Session locale L2TP 0x%04X hors service.
#From: IPNAT_TCP_BLOCKED_INGRESS_ICMP_ERROR_PACKET,Blocked incoming ICMP error message (ICMP type %u) from %v to %v as there is no TCP connection active between %v:%u and %v:%u
IPNAT_TCP_BLOCKED_INGRESS_ICMP_ERROR_PACKET, Message d'erreur ICMP entrant bloqué (type d'ICMP %u) de %v à %v, il n’y a aucune connexion TCP active entre %v:%u et %v:%u
#From: NET_RTC_REQUEST_TIME,Requesting time from %v
NET_RTC_REQUEST_TIME,Durée de requête à partir de %v.
#From: IPDNSRELAYALG_REJECTED_PACKET,DNS relay ALG rejected packet from %v:%u to %v:%u
IPDNSRELAYALG_REJECTED_PACKET, L’ALG Relais DNS a rejeté le paquet de %v:%u à %v:%u
#From: CONNECTED,Connected
CONNECTED,Connecté
#From: GW_UPNP_PORTMAP_EXPIRE,UPnP expired entry %v <-> %v:%d <-> %v%d %S '%s'
GW_UPNP_PORTMAP_EXPIRE, Entrée UPnP %v <-> %v:%d <-> %v%d %S '%s' expirée
#From: GW_UPGRADE_FAILED,Invalid firmware upgrade image uploaded - discarding it
GW_UPGRADE_FAILED,Image téléchargée de mise à niveau de microprogramme non valide ; abandon en cours.
#From: IPNAT_TCP_BLOCKED_EGRESS_UNEXP_FLAGS,Blocked outgoing TCP packet from %v:%u to %v:%u as %s is not allowed in state %s
IPNAT_TCP_BLOCKED_EGRESS_UNEXP_FLAGS, Paquet TCP sortant bloqué de %v:%u à %v:%u car %s n’est pas permis en l’état %s
#From: RATE_ESTIMATOR_CONVERGENCE_ERROR,Rate estimation aborted as measurements failed to converge
RATE_ESTIMATOR_CONVERGENCE_ERROR, L’évaluation du débit est abandonnée car les mesures ne sont pas convergantes
#From: IPPORTTRIGGERALG_UDP_PACKET_ALLOC_FAILURE,Port trigger ALG failed to allocate session for UDP packet from %v:%u to %v:%u
IPPORTTRIGGERALG_UDP_PACKET_ALLOC_FAILURE, L’ALG de déclenchement de ports n’a pu assigner de session pour le paquet UDP de %v:%u à %v:%u
#From: BSECURE_LOG_AUTH_PASS,%S service authorization passed
BSECURE_LOG_AUTH_PASS,L'autorisation du service %S a réussi
#From: GW_FW_NOTIFY_FIRMWARE_AVAIL,Latest firmware version %d.%d is available
GW_FW_NOTIFY_FIRMWARE_AVAIL,La dernière version de microprogramme %d.%d est disponible.
#From: IPDHCPSERVER_LEASE_REVOKED2,The lease %v was revoked.
IPDHCPSERVER_LEASE_REVOKED2,La concession %v a été révoquée.
#From: IPRTSPALG_REJECTED_ODD_RTP_PACKET,RTSP ALG rejected packet from %v:%u to %v:%u with odd RTP port %u
IPRTSPALG_REJECTED_ODD_RTP_PACKET, L’ALG RTSP a rejeté le paquet de %v:%u à %v:%u avec le port RTP impair %u
#From: BSECURE_LOG_AUTH_FAIL_UNKNW,%S service authorization failed: auth server returned UNKNOWN error
BSECURE_LOG_AUTH_FAIL_UNKNW,L'autorisation du service %S a échoué : le serveur d'authentification a renvoyé une erreur de type INCONNU
#From: IPFAT_MOUNT_FAILED,Failed to mount FAT device
IPFAT_MOUNT_FAILED,Échec du montage du périphérique FAT
#From: GW_BIGPOND_CONFIG,BigPond not configured properly
GW_BIGPOND_CONFIG,BigPond n'est pas configuré correctement.
#From: IPFAT_INCOMPATIBLE_FILESYS,Detected file system is not compatible (FAT32,FAT16,FAT12)
IPFAT_INCOMPATIBLE_FILESYS,Le système de fichier détecté n'est pas compatible (FAT32, FAT16, FAT12)
#From: IPPPPPAP_AUTH_RESULT,PAP sent authentication \"%s\" response to remote peer.
IPPPPPAP_AUTH_RESULT,Le protocole PAP a envoyé une réponse d'authentification \"%s\" au poste distant.
#From: BSECURE_LOG_AUTH_FAIL_RENEW,%S service authorization failed: service needs renewal
BSECURE_LOG_AUTH_FAIL_RENEW,L'autorisation du service %S a échoué : le service a besoin d'un renouvellement
#From: GW_SCHED_ALLOC_FAILED,System error occured when allocating schedule %s
GW_SCHED_ALLOC_FAILED,Erreur système pendant l'attribution du calendrier %s.
#From: IPL2TP_FATAL_TIMEOUT,L2TP local tunnel 0x%04X RTE module fatal timeout - remote server is not responding.
IPL2TP_FATAL_TIMEOUT,Dépassement du délai d'attente du module RTE 0x%04X du tunnel local L2TP ; le serveur distant ne répond pas.
#From: IP_FILTERS,IP Filters
IP_FILTERS,Filtres IP
#From: GW_DYNDNS_UPDATE_NEXT,Next dynamic DNS update scheduled for %s
GW_DYNDNS_UPDATE_NEXT,Prochaine mise à jour DNS dynamique programmée pour %s.
#From: GW_LAN_INTERFACE_DOWN,LAN interface is down
GW_LAN_INTERFACE_DOWN,L'interface de réseau local est hors service.
#From: GAMING,Gaming
GAMING,Jeux
#From: RIP_LOW_RESOURCES,RIP has rejected route %v from peer router %v due to low system resources
RIP_LOW_RESOURCES, RIP a rejeté la route %v du routeur distant %v du fait de  ressources système insuffisantes
#From: IPNAT_UNABLE_TO_CREATE_CONNECTION,Dropped packet from %v to %v (IP protocol %u) as unable to create new session
IPNAT_UNABLE_TO_CREATE_CONNECTION,Paquet rejeté de %v à %v (protocole IP %u) car impossible de créer une nouvelle session.
#From: IPDHCPSERVER_LEASE_DENIED,Client %m wanted specific address (%v) but it is not available
IPDHCPSERVER_LEASE_DENIED,Le client %m voulait l'adresse spécifique (%v), mais elle n'est pas disponible.
#From: GW_SMTP_EMAIL_TIMEOUT,Unable to send email (connection timed out)
GW_SMTP_EMAIL_TIMEOUT,Impossible d'envoyer un message électronique (délai de connexion dépassé)
#From: BSECURE_LOG_AUTH_FAIL_DB,%S service authorization failed: auth server returned DB error
BSECURE_LOG_AUTH_FAIL_DB,L'autorisation du service %S a échoué : le serveur d'authentification a renvoyé une erreur de base de données
#From: IPDHCPSERVER_PARAM_DB_UPDATED,DHCP Server Parameter %u was updated
IPDHCPSERVER_PARAM_DB_UPDATED,Le paramètre %u du serveur DHCP a été mis à jour.
#From: IPWOLALG_REJECTED_PACKET,Wake-on-LAN ALG rejected packet from %v:%u to %v:%u
IPWOLALG_REJECTED_PACKET, L’ALG Wake-on-LAN a rejeté le paquet de %v:%u à %v:%u
#From: GW_INET_ACCESS_DROP_ACCESS_CONTROL,Internet access control dropped packet from %v:%u to %v:%u (protocol %u)
GW_INET_ACCESS_DROP_ACCESS_CONTROL,Le contrôle d'accès à Internet a rejeté un paquet de %v:%u à %v:%u (protocole %u).
#From: WCN_LOG_NO_WSETTING,Device %s, wsetting.wfc: file not found
WCN_LOG_NO_WSETTING,Périphérique %s, wsetting.wfc : fichier introuvable
#From: GW_LAN_CARRIER_DETECTED,LAN Ethernet Carrier Detected
GW_LAN_CARRIER_DETECTED,Courant porteur Ethernet de réseau local détecté.
#From: IPNAT_SESSION_ALREADY_EXISTS,Dropped packet from %v to %v (protocol %u) as session already exists
IPNAT_SESSION_ALREADY_EXISTS,Paquet rejeté de %v à %v (protocole %u) car la session existe déjà.
#From: WAN_MODE_INCORRECT,Incorrect WAN connectivity mode
WAN_MODE_INCORRECT,Mode de connectivité de réseau étendu incorrect.
#From: WAN_ALREADY_DISCONNECTED,WAN is already disconnected
WAN_ALREADY_DISCONNECTED,Le réseau étendu est déjà déconnecté.
#From: IPPPPLCP_SET_REMOTE_OPTIONS,LCP sets remote options: ACCM: %lx, ACFC: %u, PFC: %u, MRU: %u
IPPPPLCP_SET_REMOTE_OPTIONS,Le protocole LCP définit les options distantes : ACCM : %lx, ACFC : %u, PFC : %u, MRU : %u
#From: WAN,WAN
WAN,Réseau étendu
#From: IPWEBFILTER_REJECTED_PACKET,Web filter rejected packet from %v:%u to %v:%u
IPWEBFILTER_REJECTED_PACKET, Filtre Web a rejeté le paquet de %v:%u à %v:%u
#From: GW_DYNDNS_UPDATE_TO,Updating dynamic DNS entry due to timeout
GW_DYNDNS_UPDATE_TO,Mise à jour d'une entrée DNS dynamique due à un dépassement de temps.
#From: PORT_FORWARDING,Port Forwarding
PORT_FORWARDING,Redirection de port
#From: IPL2TP_TUNNEL_CONNECTING,Trying to connect to L2TP server
IPL2TP_TUNNEL_CONNECTING,Tentative de connexion au serveur L2TP.
#From: UNKNOWN,Unknown
UNKNOWN,Inconnu
#From: IPL2TP_TUNNEL_UNEXPECTED_MESSAGE,L2TP local tunnel 0x%04X received unexpected control message (ignored)
IPL2TP_TUNNEL_UNEXPECTED_MESSAGE,Le tunnel local L2TP 0x%04X a reçu un message de contrôle inattendu (ignoré).
#From: NEWER_FW_VERSION,Newer Firmware Version %d.%d for your %s %s router is now available at
NEWER_FW_VERSION,Une version plus récente %d.%d pour votre routeur %s %s est à présent disponible à
#From: IPDHCPSERVER_LEASE_POOL_FULL,Lease table full
IPDHCPSERVER_LEASE_POOL_FULL,Tableau de concession plein.
#From: GW_WAN_MODE_IS,Bringing up WAN using %s
GW_WAN_MODE_IS,Mise en fonction du réseau étendu à l'aide de %s.
#From: GW_WAN_INTERFACE_UP,WAN interface is up. Connection to Internet established with IP Address %v and default gateway %v
GW_WAN_INTERFACE_UP,L'interface de réseau étendu est en service. La connexion à Internet est établie avec l'adresse IP %v et la passerelle par défaut %v.
#From: SYSTEM_LOG_INACTIVE,System LOG is inactive
SYSTEM_LOG_INACTIVE,JOURNAL système inactif.
#From: GW_WAN_SERVICES_STOPPED,Stopping WAN Services
GW_WAN_SERVICES_STOPPED,Arrêt des services de réseau étendu
#From: IPNAT_TCP_BLOCKED_INGRESS_SYN,Blocked incoming TCP connection request from %v:%u to %v:%u
IPNAT_TCP_BLOCKED_INGRESS_SYN, Requète de connexion TCP entrante bloquée de %v:%u à %v:%u
#From: RUNTIME_CONFIG_RESET_CONFIG_TO_FACTORY_DEFAULTS,Reset configuration to factory defaults
RUNTIME_CONFIG_RESET_CONFIG_TO_FACTORY_DEFAULTS,Restaurer les paramètres par défaut
#From: GW_SCHED_ATTACH_FAILED,System error occured when attaching with schedule %s
GW_SCHED_ATTACH_FAILED,Erreur système pendant l'ajout au calendrier %s.
#From: RUNTIME_CONFIG_MAGIC_NUM_ERROR,Error loading configuration from non-volatile memory (Magic number mis-match). Reset configuration to factory defaults
RUNTIME_CONFIG_MAGIC_NUM_ERROR,Erreur lors du chargement de la configuration à partir de la mémoire non volatile (non-concordance du nombre magique). Restaurer les paramètres par défaut
#From: PPPOE_EVENT_UP,PPPoE session 0x%04X established
PPPOE_EVENT_UP,Session PPPoE 0x%04X établie.
#From: GW_WAN_CONNECT_ON_ACTIVE,Attempting to start WAN connection on-demand
GW_WAN_CONNECT_ON_ACTIVE,Tentative de démarrage d'une connexion de réseau étendu sur demande.
#From: GW_BIGPOND_FAIL,BigPond failed, state=%d with error=%d, server response=%s
GW_BIGPOND_FAIL,Échec de BigPond, état = %d avec erreur = %d, réponse du serveur = %s.
#From: RESTRICTED,Restricted
RESTRICTED,Restreint
#From: USB_LOG_STORAGE_NOT_FOUND,No WCN compatible USB mass storage interface was found
USB_LOG_STORAGE_NOT_FOUND,Aucune interface de stockage de masse USB compatible WCN n'a été détectée.
#From: IPPPPCHAP_AUTH_FAIL,CHAP authentication failed - please check login details.
IPPPPCHAP_AUTH_FAIL,Échec de l'authentification CHAP, veuillez vérifier les informations de connexion.
#From: IPMSNMESSENGERALG_REJECTED_PACKET,MSN Messenger ALG rejected packet from %v:%u to %v:%u
IPMSNMESSENGERALG_REJECTED_PACKET, L’ALG MSN Messenger a rejeté le paquet de %v:%u à %v:%u
#From: APP_RULES,Application Rules
APP_RULES, Règles d'application
#From: PPTP_EVENT_TUNNEL_DOWN,PPTP tunnel ID 0x%04X has been closed
PPTP_EVENT_TUNNEL_DOWN,L'ID 0x%04X du tunnel PPTP a été fermé.
#From: PPTP_EVENT_TUNNEL_CONNECT_FAIL,PPTP connection attempt failed. Check remote PPTP server details.
PPTP_EVENT_TUNNEL_CONNECT_FAIL,Échec de tentative de connexion PPTP. Vérifiez les paramètres du serveur PPTP distant.
#From: PPTP_EVENT_TUNNEL_CLEAR_DOWN_REQUEST,PPTP received a tunnel clear down request from the application, the tunnel will now be closed.
PPTP_EVENT_TUNNEL_CLEAR_DOWN_REQUEST,Le protocole PPTP a reçu de l'application une requête de libération du tunnel ; le tunnel va maintenant être fermé.
#From: PPPOE_EVENT_CONNECT,Trying to establish a PPPoE connection
PPPOE_EVENT_CONNECT,Tentative d'établissement d'une connexion PPPoE.
#From: PPTP_ALG_GRE_UNABLE_TO_HANDLE_HEADER,Dropped GRE packet from %v to %v as unable handle packet header
PPTP_ALG_GRE_UNABLE_TO_HANDLE_HEADER,Paquet GRE rejeté de %v à %v car impossible de traiter l'en-tête de paquet.
#From: IPPPPPAP_AUTH_TIMEOUT,PAP authentication timed out - authentication failed.
IPPPPPAP_AUTH_TIMEOUT,Dépassement du délai d'authentification PAP, échec de l'authentification.
#From: PPTP_ALG_GRE_BLOCKED_INGRESS,Blocked incoming GRE packet from %v to %v
PPTP_ALG_GRE_BLOCKED_INGRESS,Paquet GRE entrant bloqué de %v à %v.
#From: IPDHCPSERVER_LEASE_RESERVATION_DELETED,Lease reservation %v was deleted.
IPDHCPSERVER_LEASE_RESERVATION_DELETED,La réservation de concession %v a été supprimée.
#From: RUNTIME_CONFIG_LOADED_CONFIG_FROM_NVRAM,Loaded configuration from non-volatile memory
RUNTIME_CONFIG_LOADED_CONFIG_FROM_NVRAM,Configuration chargée à partir de la mémoire non volatile.
#From: PPPOE_EVENT_TERMINATED,PPPoE session 0x%04X terminated by access concentrator
PPPOE_EVENT_TERMINATED,Session PPPoE 0x%04X terminée par le concentrateur d'accès.
#From: PPPOE_EVENT_SESSION_OFFER_RECVD,PPPoE received session offer
PPPOE_EVENT_SESSION_OFFER_RECVD,Le protocole PPPoE a reçu une offre de session.
#From: PPPOE_EVENT_DISCONNECT,Terminating PPPoE session 0x%04X
PPPOE_EVENT_DISCONNECT,Fin de la session PPPoE 0x%04X.
#From: GW_INIT_DONE,Device initialized
GW_INIT_DONE,Périphérique initialisé
#From: RATE_ESTIMATOR_RESOURCE_ERROR,Rate estimation aborted as low on resources
RATE_ESTIMATOR_RESOURCE_ERROR, Évaluation du débit avortée par manque de ressources
#From: N_A,N/A
N_A,N/A
#From: NONE_BLOCKED,None Blocked
NONE_BLOCKED,Aucun blocage
#From: NET_RTC_SYNCHRONIZED,Time synchronized
NET_RTC_SYNCHRONIZED,Temps synchronisé
#From: NET_RTC_SYNCHRONIZATION_FAILED_AFTER_RETRIES,Time synchronization failed after retries ... giving up
NET_RTC_SYNCHRONIZATION_FAILED_AFTER_RETRIES,Échec de la synchronisation du temps après nouvelles tentatives ; abandon en cours...
#From: NET_RTC_SYNCHRONIZATION_FAILED,Time synchronization failed (status %d)
NET_RTC_SYNCHRONIZATION_FAILED,Échec de la synchronisation du temps (état %d).
#From: IPDRIVE_MOUNT_FAILED,Failed to mount drive device
IPDRIVE_MOUNT_FAILED,Échec du montage du lecteur
#From: IPNAT_TCP_BLOCKED_EGRESS_BAD_ACK,Blocked outgoing TCP packet from %v:%u to %v:%u with unexpected acknowledgement %lu (expected %lu to %lu)
IPNAT_TCP_BLOCKED_EGRESS_BAD_ACK, Paquet TCP sortant bloqué de %v:%u à %v:%u avec accusé de réception inattendu %lu (%lu à %lu prévu)
#From: MUST_BE_LOGGED_IN_AS_ADMIN,You must be logged in as 'admin' to perform this action
MUST_BE_LOGGED_IN_AS_ADMIN,Vous devez être connecté en tant qu'administrateur pour pouvoir effectuer cette action.
#From: BSECURE_LOG_FLTR_CONNECTED,%S filter server connected
BSECURE_LOG_FLTR_CONNECTED,Serveur de filtre %S connecté
#From: IPDHCPSERVER_LEASE_ASSIGNED,Assigned new lease %v to client %m
IPDHCPSERVER_LEASE_ASSIGNED,Nouvelle concession %v attribuée au client %m.
#From: LOGGED,, Logged
LOGGED,, connecté(e).
#From: IPDHCPSERVER_LEASE_RENEW,Lease %v renewed by client %m
IPDHCPSERVER_LEASE_RENEW,Concession %v renouvelée par le client %m.
#From: PPTP_EVENT_TUNNEL_WINDOW_TIMEOUT,The remote PPTP access concentrator is slow to respond. There may be connectivity problems.
PPTP_EVENT_TUNNEL_WINDOW_TIMEOUT,Le concentrateur d'accès PPTP distant tarde à répondre. Il est possible qu'il y ait des problèmes de connectivité.
#From: BIGPOND_LOGGING_OUT,BigPond logging out
BIGPOND_LOGGING_OUT,Déconnexion BigPond.
#From: IPSTACK_REJECTED_SOURCE_ROUTED_PACKET,Blocked source-routed packet from %v to %v
IPSTACK_REJECTED_SOURCE_ROUTED_PACKET, Paquet source-routé bloqué de %v à %v
#From: IPSMTPCLIENT_MSG_FAILED,SMTP client failed to send email
IPSMTPCLIENT_MSG_FAILED,Le client SMTP n'a pas réussi à envoyer un message électronique.
#From: GW_DYNDNS_SUCCESS,Successfully updated dynamic DNS entry for %s
GW_DYNDNS_SUCCESS,Entrée DNS dynamique mise à jour avec succès pour %s.
#From: GW_INET_ACCESS_POLICY_END_OTHERS,Policy %s stopped; Internet access for all non-specified systems changed to: %s
GW_INET_ACCESS_POLICY_END_OTHERS,La stratégie %s est arrêtée ; l'accès à Internet pour tous les systèmes non spécifiés devient : %s
#From: IPSMTPCLIENT_CONN_FAILED,SMTP client failed to connect to server %v
IPSMTPCLIENT_CONN_FAILED,Échec de la connexion du client SMTP au serveur %v.
#From: IPPPPPAP_AUTH_SUCCESS,PAP authentication successful.
IPPPPPAP_AUTH_SUCCESS,Authentification PAP réussie.
#From: GW_BIGPOND_STATUS,BigPond state changed, new state=%d
GW_BIGPOND_STATUS,État BigPond modifié, nouvel état = %d.
#From: IPSEC_ALG_ESP_UNABLE_TO_HANDLE_HEADER,Dropped ESP packet from %v to %v as unable handle packet header
